,Human Longitude,Human Latitude,Human Acres Burned
17126,-124.98361,43.24917,0.25
10296,-124.53667,42.87583,0.01
2266,-124.52442,42.83404,0.12
12268,-124.51833,42.84472,0.72
10165,-124.51722,42.7625,0.1
133,-124.50971,42.76171,0.25
5694,-124.50833,42.73611,0.01
11686,-124.50806,42.77028,0.04
10119,-124.50583,42.90639,12.25
16511,-124.50472,42.84694,0.01
14540,-124.50247,42.77006,0.05
13695,-124.50083,42.76083,0.05
5641,-124.5,42.78722,1.0
7345,-124.49972,42.89694,0.1
3389,-124.49965,42.84499,0.1
4232,-124.49766,42.767,0.01
12007,-124.49722,42.77028,2.04
6085,-124.49694,42.76972,0.01
9210,-124.49583,42.80222,0.5
275,-124.49479,42.77279,0.01
2853,-124.48993,42.8986,0.03
5357,-124.48917,42.74267,0.01
7211,-124.48778,42.78639,0.5
6560,-124.48639,42.78444,1.0
5258,-124.48533,42.76417,0.02
3441,-124.48009,42.89895,0.05
15628,-124.48,42.74528,0.5
11655,-124.47694,42.83139,0.04
13209,-124.47639,42.81722,0.1
10006,-124.47639,42.83167,0.01
5012,-124.47617,42.779,0.1
549,-124.47585,42.77984,0.01
11445,-124.47583,42.73722,0.01
413,-124.47561,42.77622,0.1
2324,-124.47554,42.83423,0.25
13106,-124.47472,42.83139,0.02
4651,-124.4725,42.8675,0.1
6426,-124.47194,42.775,1.0
5489,-124.47167,42.85317,0.01
2401,-124.47149,42.81573,4.25
12037,-124.47083,42.8775,0.01
16573,-124.47056,42.76028,24.0
2468,-124.46846,42.74127,0.05
12345,-124.46806,42.80222,0.84
8764,-124.46778,42.72611,0.01
16642,-124.46778,42.76889,0.01
11867,-124.46694,42.83111,0.01
12714,-124.46667,42.88111,0.01
2598,-124.46578,42.73369,0.02
9837,-124.46556,42.74,0.01
3197,-124.46387,42.83227,0.0
487,-124.46319,42.72334,0.01
12821,-124.46056,42.89556,0.01
343,-124.45674,42.97699,0.02
2354,-124.45663,42.95591,1.0
8423,-124.45639,42.705,0.1
434,-124.45605,42.86291,3.0
11241,-124.45528,42.84361,0.01
5405,-124.45444,42.70917,2.0
5018,-124.45333,42.925,0.01
4967,-124.45283,42.92183,0.1
4307,-124.45166,42.93616,0.05
3006,-124.45094,42.91248,0.05
4469,-124.44716,42.93433,0.01
11245,-124.44694,42.91833,0.01
7928,-124.44306,43.03222,31.03
3976,-124.44,43.03616,30.0
13161,-124.43917,42.7175,2.25
3494,-124.43677,42.92718,0.05
7898,-124.43639,43.11389,0.01
6846,-124.43556,42.83194,0.02
936,-124.43554,43.04534,34.78
10943,-124.43472,42.4375,2.02
15003,-124.4345,42.98517,0.25
7772,-124.43444,42.43667,0.5
13403,-124.43389,43.08167,0.1
13051,-124.43389,42.43417,0.01
14027,-124.43389,42.7175,3.5
11677,-124.43361,43.05306,6.3
6946,-124.43361,42.43417,0.01
7087,-124.43333,42.43278,0.01
10602,-124.43278,42.75472,0.01
12590,-124.43194,43.0725,0.25
9662,-124.43167,42.42667,0.01
2851,-124.43117,43.11111,0.01
1089,-124.43117,43.11111,0.01
1641,-124.43117,43.11111,0.01
1455,-124.43117,43.11111,0.02
16634,-124.43083,43.04694,0.33
16618,-124.43083,42.49806,0.01
10448,-124.43083,42.43083,0.01
11865,-124.43,42.42667,0.02
11811,-124.43,43.08833,0.25
10029,-124.42861,42.43361,0.01
2339,-124.42845,42.45106,0.13
2274,-124.42845,42.45106,0.02
9215,-124.42833,42.96944,0.01
6132,-124.42764,42.80917,0.25
5690,-124.4275,42.42472,0.1
11030,-124.42722,43.10583,0.02
2993,-124.42719,42.84434,1.5
16177,-124.42694,42.95861,0.01
4726,-124.42683,42.7105,0.7
3059,-124.42677,42.42935,0.2
1156,-124.42677,42.42935,0.04
3136,-124.42654,42.42574,0.01
12933,-124.42639,42.42639,0.01
17064,-124.42528,42.41222,0.22
9118,-124.42528,42.44889,0.25
6480,-124.42472,43.10722,0.25
10227,-124.42417,43.12444,0.1
8648,-124.42389,42.70833,0.25
14268,-124.42389,43.04139,0.1
4956,-124.42367,43.10533,0.1
15348,-124.42361,42.69472,4.5
15147,-124.42328,43.06239,0.02
11820,-124.42306,43.33333,0.01
4054,-124.42266,42.42366,0.05
16110,-124.4225,43.06194,0.03
4722,-124.422,43.08833,15.0
16098,-124.42194,42.67556,0.01
8376,-124.42167,43.02722,0.1
3655,-124.42142,42.42229,0.02
13272,-124.42111,43.08583,0.25
6906,-124.42056,43.08611,0.1
16911,-124.42028,42.37583,0.01
5241,-124.41983,42.36983,0.07
7252,-124.41972,43.02583,1.25
11256,-124.41972,42.37083,0.01
13408,-124.41861,42.99389,0.05
2408,-124.41836,42.70919,6.0
7287,-124.41806,43.12556,0.01
6633,-124.41806,43.12556,0.25
4236,-124.418,42.42916,0.01
9621,-124.4175,42.48778,1.0
983,-124.41678,43.11005,0.1
12729,-124.41667,42.42972,0.01
17194,-124.41583,42.85222,9.0
15979,-124.41583,42.31722,0.01
12204,-124.41583,43.02917,0.01
14656,-124.41578,43.07981,0.01
8647,-124.41556,42.50417,0.25
8094,-124.41528,42.36861,0.01
11716,-124.41528,43.09361,0.02
12142,-124.41528,43.05806,0.01
14688,-124.41519,42.12969,0.5
11017,-124.415,43.06361,0.01
14345,-124.415,43.10417,0.01
11933,-124.415,43.0125,0.01
16268,-124.41472,43.045,0.01
10388,-124.41444,42.38972,0.01
11526,-124.41417,43.08278,0.01
2936,-124.4134,43.0665,0.25
5850,-124.41333,43.10972,0.01
2622,-124.41311,43.07,0.06
14702,-124.413,42.3462,2.89
16496,-124.4125,42.34722,0.01
3708,-124.4123,43.01645,0.1
5927,-124.41222,43.02472,0.25
11768,-124.41222,42.30833,0.01
13261,-124.41222,43.06889,0.01
14596,-124.41222,42.48611,0.01
3762,-124.41217,43.11633,0.5
13851,-124.41194,42.355,0.01
16958,-124.41111,43.07611,0.01
10832,-124.41056,42.30694,0.01
10770,-124.41056,43.05944,0.1
8107,-124.41,42.35528,0.01
9895,-124.40972,43.10833,0.1
5071,-124.409,42.50883,0.01
5858,-124.40889,43.15122,0.01
192,-124.40871,42.37518,0.01
1632,-124.40864,42.49074,0.01
3244,-124.40862,42.36067,3.0
11218,-124.40861,42.35444,0.01
256,-124.40837,42.5011,0.01
14675,-124.40667,42.80639,0.5
13372,-124.40583,43.17083,1.2
8282,-124.40583,43.17056,2.1
7348,-124.405,42.64306,0.5
8348,-124.40472,42.275,3.06
14207,-124.40444,42.30861,1.16
16548,-124.40389,43.0575,0.18
554,-124.40306,43.05961,0.25
1919,-124.40292,43.10983,0.03
429,-124.40274,42.6965,4.0
170,-124.40263,42.80411,0.01
3200,-124.40255,42.97158,1.5
7996,-124.4025,42.27306,148.0
155,-124.40244,43.0168,0.25
147,-124.40244,43.0168,0.25
9086,-124.40222,42.41361,0.25
11568,-124.40194,42.42361,0.01
5202,-124.40117,43.10333,0.01
13999,-124.40111,42.84722,89.0
7494,-124.40111,43.0575,0.01
12740,-124.39972,42.26792,0.01
16912,-124.39889,42.25806,0.5
11503,-124.39889,43.06667,0.2
8540,-124.39889,43.15444,0.01
3676,-124.39841,42.48385,0.25
2066,-124.39841,42.48385,5.83
2497,-124.39833,42.4258,0.5
6325,-124.39833,42.41222,0.01
709,-124.39799,43.11,0.01
1466,-124.39775,43.10638,0.01
9685,-124.39722,43.15028,0.01
4723,-124.39683,43.14833,0.02
9501,-124.39639,42.28667,3.0
15020,-124.39639,43.20278,0.01
7799,-124.39639,43.14167,0.25
7528,-124.39611,43.10944,0.01
2496,-124.39584,43.18351,0.02
9536,-124.39556,43.09861,3.3
9952,-124.395,42.41417,0.25
6640,-124.39444,43.21083,0.01
9529,-124.39444,43.08972,0.01
13706,-124.39389,43.15639,0.01
14641,-124.39386,42.43045,0.01
15567,-124.39361,42.485,0.01
2440,-124.39299,43.10576,1.5
3498,-124.39289,42.23456,0.25
16913,-124.39278,42.61222,0.41
12241,-124.39278,43.11833,0.1
7149,-124.39278,43.21139,0.01
240,-124.3927,43.02681,0.1
16561,-124.3925,43.1075,1.4
11483,-124.3925,42.25417,0.37
443,-124.39248,43.2115,3.0
3040,-124.39217,43.1413,0.01
358,-124.39208,43.15571,0.01
5318,-124.39183,43.09033,0.1
15878,-124.39167,43.06028,0.19
8410,-124.39167,43.15861,0.01
6131,-124.39083,43.21083,90.8
11447,-124.39083,43.21139,56.8
11514,-124.39028,43.09,0.1
11962,-124.38972,42.40861,0.02
5514,-124.3895,42.3145,0.02
13253,-124.38806,43.24778,1.6
5023,-124.38783,43.177,0.01
1099,-124.38724,43.14147,0.25
11350,-124.38722,43.11861,0.1
13092,-124.38722,43.10333,0.71
8211,-124.38694,43.13722,0.1
8762,-124.38611,42.46056,0.1
10914,-124.38611,43.10472,0.01
7132,-124.385,42.47139,0.25
9794,-124.385,43.22667,1.0
11750,-124.38472,42.46611,0.01
950,-124.38459,42.43351,0.1
9540,-124.38444,43.23556,0.08
15788,-124.38444,43.08222,2.0
3208,-124.38429,42.64373,9.0
7694,-124.38333,43.31611,0.25
537,-124.3832,43.23285,0.25
6207,-124.38306,43.20361,0.01
1693,-124.38294,43.04159,0.25
3089,-124.38288,43.10249,0.1
13486,-124.38278,42.705,0.1
5634,-124.38278,43.1025,0.1
7726,-124.38278,43.10917,0.01
53,-124.38259,43.21184,0.1
6109,-124.38222,43.26639,1.5
7377,-124.37889,42.25194,0.02
3700,-124.37871,43.08479,0.01
6424,-124.37861,42.60389,35.0
13787,-124.37861,43.10472,1.0
5726,-124.37833,43.33083,0.01
8674,-124.37722,42.46806,0.75
5831,-124.37722,43.33139,0.01
11576,-124.37667,43.33,0.01
3775,-124.37556,42.46542,1.5
12624,-124.37556,43.22222,0.01
10627,-124.375,43.16722,0.21
10919,-124.37444,43.22056,0.1
10069,-124.37444,42.53944,0.97
5930,-124.37417,42.27528,0.1
17067,-124.37417,42.53917,1.15
2005,-124.37368,43.20821,0.01
16871,-124.37361,43.2775,1.5
2611,-124.3734,43.18008,0.01
7306,-124.37333,42.45833,1.0
6452,-124.37333,42.55083,0.1
16231,-124.37306,42.54417,0.25
1868,-124.37293,43.17284,0.01
3973,-124.3725,42.4675,0.02
13086,-124.37194,42.46167,1.1
12143,-124.37111,42.44389,0.63
8100,-124.37083,43.17778,0.02
15233,-124.37056,43.17806,0.02
16484,-124.37056,42.79694,6.0
6742,-124.37028,43.12028,0.6
6674,-124.36972,42.46083,3.5
1626,-124.36961,42.55108,0.5
345,-124.36947,42.56161,0.01
2294,-124.36946,42.50109,0.25
8832,-124.36917,43.125,0.01
6775,-124.36889,42.19556,0.5
3934,-124.36866,43.10583,2.5
10896,-124.36861,42.37861,2.09
7384,-124.36833,42.56139,0.3
1130,-124.36812,43.18325,0.01
1643,-124.36803,43.19752,0.17
9065,-124.3675,43.33833,0.01
7131,-124.36722,42.47833,0.25
12080,-124.36722,43.1775,0.01
14475,-124.36667,43.20722,0.1
16488,-124.36639,42.83972,2.0
2912,-124.36521,42.44432,0.01
10933,-124.36472,42.46194,0.01
5826,-124.36472,43.13722,0.01
6574,-124.36472,42.46194,0.5
12116,-124.36472,43.11444,0.01
6395,-124.36389,42.84611,4.46
9706,-124.36389,43.125,2.14
11319,-124.36389,43.18278,0.01
2445,-124.36366,43.26436,18.0
1950,-124.36341,43.18703,6.0
1840,-124.36341,43.18703,0.01
14524,-124.36333,43.12778,0.25
2441,-124.36303,43.21151,0.3
7338,-124.3625,43.1425,0.01
8787,-124.36194,43.33167,0.35
11513,-124.36111,43.20139,0.01
5651,-124.36056,42.23167,0.1
14744,-124.36008,43.08239,0.01
11177,-124.36,43.13806,0.01
7120,-124.35972,43.27139,0.25
12959,-124.35889,43.3325,0.1
3747,-124.35882,43.2366,0.01
3442,-124.35861,43.2051,0.05
5015,-124.35833,43.33583,0.02
9943,-124.35778,42.63444,0.01
6610,-124.35694,42.26667,0.5
13672,-124.35639,43.23361,0.01
9408,-124.35611,43.11472,0.01
6548,-124.35583,42.14111,0.01
6463,-124.35472,42.14444,0.01
10791,-124.35472,42.14444,0.01
4405,-124.35416,42.11783,0.1
10964,-124.35389,42.99722,3.0
3620,-124.35351,43.17653,0.01
10285,-124.35306,42.16861,0.02
8402,-124.35306,43.3425,1.0
10107,-124.35167,42.1775,4.0
12006,-124.35167,42.41944,0.2
12039,-124.35167,43.33778,0.01
10201,-124.35139,42.28889,0.25
2682,-124.3512,42.15853,0.1
12047,-124.35083,43.09444,1.16
10114,-124.34944,42.405,4.71
5000,-124.349,43.338,0.02
15161,-124.34861,43.33833,0.01
8474,-124.34861,43.34056,0.01
11847,-124.34833,43.34333,0.01
5507,-124.34817,42.1455,0.01
6393,-124.34806,42.85194,25.0
7524,-124.3475,43.27833,0.01
8089,-124.34667,43.34222,0.09
6637,-124.34667,43.34528,0.01
16388,-124.3465,43.3305,0.1
13145,-124.34639,42.85944,15.0
16663,-124.34583,43.34611,0.01
11432,-124.34583,43.31778,0.03
15781,-124.34556,42.10056,0.07
12892,-124.345,43.34778,0.25
13484,-124.345,43.34611,0.01
9466,-124.34444,42.12361,0.25
10063,-124.34444,42.35139,0.01
12115,-124.34389,43.1175,1.5
7356,-124.34389,43.33833,0.01
7114,-124.34389,43.30361,0.01
8393,-124.34389,42.10056,0.01
5824,-124.34378,43.34769,0.2
9151,-124.34333,43.34889,0.01
8543,-124.34306,43.34833,0.01
8158,-124.34306,43.34861,0.01
7915,-124.34306,43.34944,0.01
10047,-124.3425,43.35,0.01
11859,-124.3425,42.12833,0.01
11815,-124.3425,43.34917,0.01
8627,-124.34194,43.34944,0.01
