,Lightning Longitude,Lightning Latitude,Lightning Acres Burned
1202,-124.52962,42.82304,46.2
1610,-124.50966,42.85516,0.02
3555,-124.39861,43.18139,0.01
3560,-124.39472,42.23861,0.5
1566,-124.36524,42.4726,0.01
1196,-124.35812,43.22575,0.02
4747,-124.31528,42.4625,0.09
955,-124.315,43.19363,0.02
1938,-124.30833,42.8875,0.1
4548,-124.30083,42.165,1.0
5147,-124.3,42.8075,0.01
1608,-124.28933,42.8295,0.05
2686,-124.285,43.13556,0.01
4571,-124.24417,42.23444,0.1
1992,-124.23117,42.84,0.98
3830,-124.22194,42.90694,0.01
5115,-124.21833,43.47361,0.1
3791,-124.20972,42.51167,0.1
4735,-124.19611,42.57611,0.92
4867,-124.19028,42.01333,0.1
5138,-124.13333,42.86278,0.42
1114,-124.12873,43.2325,0.01
93,-124.11905,43.59171,0.25
4827,-124.10722,43.73306,0.01
5542,-124.0815,43.613,0.08
1600,-124.05666,44.76666,2.5
3545,-124.05611,42.56222,0.25
1707,-124.05567,42.8775,0.01
132,-124.05019,43.97801,0.18
1095,-124.04372,43.81978,0.01
649,-124.03866,44.72285,0.01
103,-124.02775,43.41213,0.05
961,-124.02389,43.73935,0.01
2658,-124.02028,43.19,0.11
1369,-123.97421,43.49085,0.2
2790,-123.97028,43.54444,0.11
1128,-123.96788,43.13278,0.05
3817,-123.96222,42.81333,0.01
3328,-123.96083,46.1825,0.01
1564,-123.96072,45.76333,0.1
1770,-123.95833,43.06617,0.01
4932,-123.95361,42.29667,190590.0
4933,-123.95217,42.29133,9478.0
3124,-123.94806,43.17361,0.01
5632,-123.93,43.65889,0.08
94,-123.92446,42.98382,0.01
2803,-123.91278,43.76056,0.1
1590,-123.90383,44.66266,0.01
1111,-123.90356,43.09181,0.01
1591,-123.89583,44.66266,0.01
845,-123.89194,42.40541,499945.0
844,-123.89194,42.40541,499945.0
1115,-123.88774,43.56443,0.01
101,-123.87843,42.94766,0.01
4775,-123.87778,45.125,0.05
2798,-123.87333,43.56972,0.25
